ID	DL197_Blank_ctl_P1_a	DL197_Blank_ctl_P1_b	DL197_Blank_ctl_P2_a	DL197_Blank_ctl_P2_b	DL197_FL_1204_B_a	DL197_FL_1204_B_b	DL197_FL_1204_cDC1_a	DL197_FL_1204_cDC1_b	DL197_FL_1204_cDC2_a	DL197_FL_1204_cDC2_b	DL197_FL_1204_E_a	DL197_FL_1204_E_b	DL197_FL_1204_eos_a	DL197_FL_1204_eos_b	DL197_FL_1204_mon_a	DL197_FL_1204_mon_b	DL197_FL_1204_neu_a	DL197_FL_1204_neu_b	DL197_FL_1204_pDC_a	DL197_FL_1204_pDC_b	DL197_FL_1205_B_a	DL197_FL_1205_B_b	DL197_FL_1205_cDC1_a	DL197_FL_1205_cDC1_b	DL197_FL_1205_cDC2_a	DL197_FL_1205_cDC2_b	DL197_FL_1205_E_a	DL197_FL_1205_E_b	DL197_FL_1205_eos_a	DL197_FL_1205_eos_b	DL197_FL_1205_mon_a	DL197_FL_1205_mon_b	DL197_FL_1205_neu_a	DL197_FL_1205_neu_b	DL197_FL_1205_pDC_a	DL197_FL_1205_pDC_b	DL197_FL_1206_B_a	DL197_FL_1206_B_b	DL197_FL_1206_cDC1_a	DL197_FL_1206_cDC1_b	DL197_FL_1206_cDC2_a	DL197_FL_1206_cDC2_b	DL197_FL_1206_E_a	DL197_FL_1206_E_b	DL197_FL_1206_eos_a	DL197_FL_1206_eos_b	DL197_FL_1206_mon_a	DL197_FL_1206_mon_b	DL197_FL_1206_neu_a	DL197_FL_1206_neu_b	DL197_FL_1206_pDC_a	DL197_FL_1206_pDC_b	DL197_PBS_1201_B_a	DL197_PBS_1201_B_b	DL197_PBS_1201_cDC1_a	DL197_PBS_1201_cDC1_b	DL197_PBS_1201_cDC2_a	DL197_PBS_1201_cDC2_b	DL197_PBS_1201_E_b	DL197_PBS_1201_E_a	DL197_PBS_1201_eos_a	DL197_PBS_1201_eos_b	DL197_PBS_1201_mon_a	DL197_PBS_1201_mon_b	DL197_PBS_1201_neu_a	DL197_PBS_1201_neu_b	DL197_PBS_1201_pDC_a	DL197_PBS_1201_pDC_b	DL197_PBS_1202_B_a	DL197_PBS_1202_B_b	DL197_PBS_1202_cDC1_a	DL197_PBS_1202_cDC1_b	DL197_PBS_1202_cDC2_a	DL197_PBS_1202_cDC2_b	DL197_PBS_1202_E_a	DL197_PBS_1202_E_b	DL197_PBS_1202_eos_a	DL197_PBS_1202_eos_b	DL197_PBS_1202_mon_a	DL197_PBS_1202_mon_b	DL197_PBS_1202_neu_a	DL197_PBS_1202_neu_b	DL197_PBS_1202_pDC_a	DL197_PBS_1202_pDC_b	DL197_PBS_1203_B_a	DL197_PBS_1203_B_b	DL197_PBS_1203_cDC1_a	DL197_PBS_1203_cDC1_b	DL197_PBS_1203_cDC2_a	DL197_PBS_1203_cDC2_b	DL197_PBS_1203_E_a	DL197_PBS_1203_E_b	DL197_PBS_1203_eos_a	DL197_PBS_1203_eos_b	DL197_PBS_1203_mon_a	DL197_PBS_1203_mon_b	DL197_PBS_1203_neu_a	DL197_PBS_1203_neu_b	DL197_PBS_1203_pDC_a	DL197_PBS_1203_pDC_b
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	686	11	31	0	0	0	0	1	0	7	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	967	7	16	64	136	2	19	34	42	6	5	176	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	1	160	273	3777	2109	8683	15000	525	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2173	1654	0	0	0	0	0	0
25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	77	115	0	0	1	1	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425	626	0	0	0	0	11	23	76	125	595	824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
