B	cDC1	cDC2	eos	mon	neu	pDC	mye	mouse	treatment	exp
0	7.413940428	0	0	0	0	0	0	91	PBS	DL72
0	12.79155804	13.14213047	10.05153507	8.166415218	10.65592243	11.13344577	9.929667826	91	PBS	DL72
6.5453759	0	0	0	0	0	7.261503889	0	91	PBS	DL72
0	0	0	0	5.626201894	0	0	4.677896472	91	PBS	DL72
0	11.85966052	11.56360281	5.913989054	11.97964757	8.560586339	13.10265294	11.05488783	91	PBS	DL72
7.347936217	11.47952994	10.95493686	10.07630858	10.90753773	10.14847387	11.81312942	10.49591274	91	PBS	DL72
0	0	0	6.626423895	0	0	0	5.590935009	91	PBS	DL72
0	0	0	0	3.88137484	0	0	2.935395181	91	PBS	DL72
0	0	0	0	0	3.837462795	0	2.487517676	91	PBS	DL72
8.77538826	10.31180545	9.755884117	9.295506381	10.12387994	10.5812258	11.85009681	10.07194248	91	PBS	DL72
3.263424173	0	0	0	0	0	0	0	91	PBS	DL72
0	0	7.463472378	0	0	0	0	0	91	PBS	DL72
4.303596168	3.451753535	3.564323749	0	0	0	3.926446094	0	91	PBS	DL72
0	0	0	0	0	5.110000472	0	3.754099822	91	PBS	DL72
0	0	0	8.881394738	5.094009723	7.266367108	0	8.002046458	91	PBS	DL72
0	9.552747932	9.862838453	8.412859666	8.404712425	8.32080775	0	8.386725538	91	PBS	DL72
0	8.612673548	0	0	0	0	0	0	91	PBS	DL72
0	0	0	8.787811381	0	8.518165383	0	8.267054971	90	PBS	DL72
0	0	0	0	9.906194597	0	0	8.915053252	90	PBS	DL72
0	8.589773277	0	0	0	0	9.506593727	0	90	PBS	DL72
0	0	0	0	7.520018125	0	0	6.528878603	90	PBS	DL72
0	0	0	0	0	0	11.26733756	0	90	PBS	DL72
0	9.818502343	0	0	0	10.40783578	10.49804833	8.491453713	90	PBS	DL72
0	0	0	0	14.09106555	0	0	13.09992419	90	PBS	DL72
0	0	0	9.42280808	0	0	0	8.692392686	90	PBS	DL72
0	11.27558792	12.5244427	9.321249547	0	0	0	8.590834157	90	PBS	DL72
0	0	0	0	0	0	7.32243099	0	90	PBS	DL72
0	0	0	0	6.880053973	0	0	5.888919227	90	PBS	DL72
7.885061969	0	10.38436549	0	0	0	0	0	90	PBS	DL72
0	9.696187915	11.36491302	0	0	0	0	0	90	PBS	DL72
0	10.59271056	9.603540905	0	0	0	13.21737616	0	90	PBS	DL72
8.087165487	0	9.879780141	8.988564898	0	11.23683603	10.19066119	9.617337294	90	PBS	DL72
0	8.416289848	0	0	0	0	9.618424635	0	90	PBS	DL72
0	0	0	0	10.1892282	0	0	9.198086848	90	PBS	DL72
0	0	2.504050698	0	0	0	0	0	90	PBS	DL72
0	0	0	0	0	7.067333188	0	5.150983926	90	PBS	DL72
0	0	10.44112738	0	0	0	0	0	90	PBS	DL72
0	11.20899064	0	0	0	0	0	0	90	PBS	DL72
12.22150687	11.68979496	10.88749964	0	0	0	12.38345362	0	90	PBS	DL72
0	0	0	0	8.31304843	0	0	7.321907445	90	PBS	DL72
0	0	0	11.73605558	0	0	0	11.00564016	90	PBS	DL72
0	3.489966912	0	0	13.08023879	0	0	12.08909743	90	PBS	DL72
0	0	0	7.605619609	0	0	12.06239958	6.875205012	90	PBS	DL72
0	8.891713515	0	0	0	0	10.88339369	0	90	PBS	DL72
0	0	0	9.644888776	0	9.870692845	0	9.238605942	90	PBS	DL72
0	0	0	0	7.763128949	0	0	6.771988718	90	PBS	DL72
