"B"	"cDC1"	"cDC2"	"E"	"eos"	"mon"	"neu"	"pDC"	"mye"	"mouse"	"treatment"	"exp"
11.1693402244996	0	0	0	0	0	0	0	0	"1126"	"PBS"	"DL191"
4.98820051762584	0	0	0	0	0	0	0	0	"1126"	"PBS"	"DL191"
0	0	0	0	0	0	0	3.60376809867278	0	"1126"	"PBS"	"DL191"
10.9202069901961	0	2.92682598155532	0	0	0	0	8.00538128898294	0	"1126"	"PBS"	"DL191"
6.65941101921168	0	0	9.28096736101681	0	0	0	0	0	"1126"	"PBS"	"DL191"
0	0	0	0	0	0	0	3.26800592034995	0	"1126"	"PBS"	"DL191"
0	11.4920426054585	11.9519612710523	0	9.32743883455065	3.67787377532249	4.94872869738311	0	8.2637667342414	"1126"	"PBS"	"DL191"
7.18698819271058	0	0	0	0	0	0	0	0	"1126"	"PBS"	"DL191"
7.3498284549132	0	9.19257515296861	0	10.168256484376	10.4935792912552	5.12391791745519	11.8945375489672	9.96088372263369	"1126"	"PBS"	"DL191"
6.21363704981329	9.79477586571172	10.5689316083219	0	0	0	0	9.29386881531486	0	"1126"	"PBS"	"DL191"
0	5.09448983182878	0	0	0	0	0	0	0	"1126"	"PBS"	"DL191"
0	10.4188909807056	0	0	0	0	0	0	0	"1126"	"PBS"	"DL191"
0	0	0	3.93344977972019	2.83337505801146	3.34201393773376	4.70952987022418	0	3.92994967062599	"1126"	"PBS"	"DL191"
7.04931428275597	0	0	11.975801697458	10.5879586218514	11.2755981865596	12.5799655898797	7.49921109125669	11.8005724935786	"1126"	"PBS"	"DL191"
0	11.0596259243794	10.945701125878	0	8.33456383004767	0	4.7874796946323	0	7.28244296048077	"1126"	"PBS"	"DL191"
6.99627163109307	0	0	0	0	0	0	0	0	"1126"	"PBS"	"DL191"
0	12.2438546887241	12.6310600943803	0	0	7.31482126426124	8.59351706027687	12.8403081697112	7.7133246085714	"1126"	"PBS"	"DL191"
6.50025297761394	0	0	0	0	0	0	8.45002217747212	0	"1126"	"PBS"	"DL191"
6.67025119852121	0	0	10.5286951976177	0	0	3.8070745352328	0	2.67210909441973	"1126"	"PBS"	"DL191"
5.38879737805035	10.7044922802414	10.8959010970018	5.79629415312645	13.6048686998063	13.1173082537386	9.84889707314509	13.366570651397	13.0183140181581	"1126"	"PBS"	"DL191"
2.55189914986693	0	0	0	0	0	0	0	0	"1126"	"PBS"	"DL191"
0	0	4.06368212832105	0	0	0	0	4.79267964033689	0	"1126"	"PBS"	"DL191"
0	0	0	0	0	0	0	4.09973856476621	0	"1126"	"PBS"	"DL191"
6.12933067943133	0	3.61782034165897	0	0	0	0	3.96006520837685	0	"1126"	"PBS"	"DL191"
